#{"t_start": 1786528689.3629901, "env_id": "None"}
r,l,t,true_completion_rate,cheat_rate,report_rate,audit_prob,steps_taken
-17.0,150,1678.010288,0.25,0.8,0.4166666666666667,0.05,150
-22.9,150,1678.45052,0.2222222222222222,0.8,0.5555555555555556,0.05,150
1.25,150,1679.141875,0.11111111111111116,0.9090909090909091,1.2222222222222223,0.05,150
1.65,150,1679.802977,0.0,1.0,1.2307692307692308,0.05,150
2.45,150,1680.660868,0.0714285714285714,0.9411764705882353,1.2142857142857142,0.05,150
4.3,150,1681.167351,0.052631578947368474,1.0,0.9473684210526315,0.05,150
2.15,150,1681.79847,0.1875,0.9166666666666666,0.75,0.05,150
4.9,150,1682.777272,0.11111111111111116,0.8823529411764706,0.9444444444444444,0.05,150
-21.4,150,1683.43529,0.0714285714285714,0.8888888888888888,0.6428571428571429,0.05,150
3.15,150,1683.93649,0.0,1.0,1.4166666666666667,0.05,150
3.65,150,1684.752924,0.3076923076923077,0.8125,1.2307692307692308,0.05,150
2.9,150,1685.607724,0.15384615384615385,0.9411764705882353,1.3076923076923077,0.05,150
3.3,150,1686.529,0.1333333333333333,0.9523809523809523,1.4,0.05,150
3.55,150,1688.329933,0.19999999999999996,0.7857142857142857,0.9333333333333333,0.05,150
4.05,150,1688.952969,0.16666666666666663,0.7857142857142857,0.7777777777777778,0.05,150
-19.85,150,1689.380838,0.2142857142857143,0.8181818181818182,0.7857142857142857,0.05,150
2.8,150,1689.827578,0.15384615384615385,0.8823529411764706,1.3076923076923077,0.05,150
3.2,150,1690.561586,0.3125,0.8888888888888888,1.125,0.05,150
1.45,150,1690.97981,0.16666666666666663,0.8461538461538461,1.0833333333333333,0.05,150
-14.8,150,1691.453243,0.19999999999999996,1.0,0.7333333333333333,0.05,150
-14.8,150,1691.873792,0.2666666666666667,0.9230769230769231,0.8666666666666667,0.05,150
3.1,150,1692.435128,0.0,1.0,1.2307692307692308,0.05,150
1.5,150,1693.21012,0.16666666666666663,0.8888888888888888,1.5,0.05,150
2.65,150,1693.662765,0.23076923076923073,0.8,1.1538461538461537,0.05,150
0.85,150,1694.196598,0.07692307692307687,0.9,0.7692307692307693,0.05,150
3.2,150,1694.892688,0.1875,0.9,1.25,0.05,150
-15.55,150,1697.045219,0.09090909090909094,1.0,0.45454545454545453,0.05,150
-30.5,150,1697.571279,0.09999999999999998,1.0,0.2,0.05,150
2.05,150,1698.164186,0.25,0.7857142857142857,0.875,0.05,150
